id,CVE_ENT,CVE_MUN,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
32,15,032,Donato Guerra,37436,32,0.854792179,32,0.854792179,0,0,0,0,0,0,0,0,0,0,0,0
33,15,033,Ecatepec de Morelos,1645352,3268,1.986201129,905,0.550034278,1985,1.206428776,323,0.196310577,0,0,0,0,54,0.032819725,1,0.000607773
34,15,034,Ecatzingo,10827,15,1.385425326,15,1.385425326,0,0,0,0,0,0,0,0,0,0,0,0
35,15,035,Huehuetoca,163244,106,0.649334738,37,0.226654578,69,0.42268016,0,0,0,0,0,0,0,0,0,0
36,15,036,Hueypoxtla,46757,121,2.587847809,27,0.577453643,94,2.010394166,0,0,0,0,0,0,0,0,0,0
37,15,037,Huixquilucan,284965,174,0.610601302,128,0.449177969,46,0.161423333,0,0,0,0,0,0,0,0,0,0
38,15,038,Isidro Fabela,11929,19,1.592757146,19,1.592757146,0,0,0,0,0,0,0,0,0,0,0,0
39,15,039,Ixtapaluca,542211,1398,2.578332052,151,0.27848937,425,0.783827698,810,1.493883378,0,0,0,0,12,0.022131606,0,0
40,15,040,Ixtapan de la Sal,36911,199,5.391346753,64,1.733900463,135,3.65744629,0,0,0,0,0,0,0,0,0,0
41,15,041,Ixtapan del Oro,6475,18,2.77992278,18,2.77992278,0,0,0,0,0,0,0,0,0,0,0,0
42,15,042,Ixtlahuaca,160139,339,2.116910934,119,0.743104428,190,1.186469255,0,0,0,0,0,0,17,0.106157775,13,0.081179475
43,15,043,Xalatlaco,30687,77,2.509205853,18,0.586567602,59,1.922638251,0,0,0,0,0,0,0,0,0,0
44,15,044,Jaltenco,28217,37,1.311266258,37,1.311266258,0,0,0,0,0,0,0,0,0,0,0,0
45,15,045,Jilotepec,87671,265,3.022664279,119,1.357347355,142,1.619691802,0,0,0,0,0,0,4,0.045625121,0,0
46,15,046,Jilotzingo,19877,24,1.207425668,24,1.207425668,0,0,0,0,0,0,0,0,0,0,0,0
47,15,047,Jiquipilco,76826,116,1.509905501,63,0.820034884,53,0.689870617,0,0,0,0,0,0,0,0,0,0
48,15,048,Jocotitlán,69264,58,0.837375837,58,0.837375837,0,0,0,0,0,0,0,0,0,0,0,0
49,15,049,Joquicingo,15428,19,1.231527094,19,1.231527094,0,0,0,0,0,0,0,0,0,0,0,0
50,15,050,Juchitepec,27116,23,0.8482077,23,0.8482077,0,0,0,0,0,0,0,0,0,0,0,0
51,15,051,Lerma,170327,197,1.156598778,118,0.692785055,69,0.405103125,0,0,0,0,0,0,10,0.058710598,0,0
52,15,052,Malinalco,28155,90,3.196590304,28,0.994494761,62,2.202095543,0,0,0,0,0,0,0,0,0,0
53,15,053,Melchor Ocampo,61220,58,0.94740281,54,0.882064685,0,0,0,0,0,0,0,0,4,0.065338125,0,0
54,15,054,Metepec,242307,1544,6.372081698,173,0.713970294,770,3.177786857,601,2.480324547,0,0,0,0,0,0,0,0
55,15,055,Mexicaltzingo,13807,5,0.362135149,5,0.362135149,0,0,0,0,0,0,0,0,0,0,0,0
56,15,056,Morelos,33164,35,1.055361235,35,1.055361235,0,0,0,0,0,0,0,0,0,0,0,0
57,15,057,Naucalpan de Juárez,834434,2201,2.637716105,439,0.52610512,854,1.02344823,901,1.079773835,0,0,0,0,7,0.00838892,0,0
58,15,058,Nezahualcóyotl,1077208,1736,1.611573624,682,0.633118209,1012,0.93946573,0,0,0,0,0,0,21,0.019494842,21,0.019494842
59,15,059,Nextlalpan,57082,27,0.473003749,27,0.473003749,0,0,0,0,0,0,0,0,0,0,0,0
60,15,060,Nicolás Romero,430601,244,0.566649868,185,0.429632072,59,0.137017796,0,0,0,0,0,0,0,0,0,0
61,15,061,Nopaltepec,10351,27,2.608443629,23,2.222007536,0,0,0,0,0,0,0,0,0,0,4,0.386436093
62,15,062,Ocoyoacac,72103,36,0.499285744,36,0.499285744,0,0,0,0,0,0,0,0,0,0,0,0
63,15,063,Ocuilan,36223,41,1.131877536,41,1.131877536,0,0,0,0,0,0,0,0,0,0,0,0
64,15,064,El Oro,36937,88,2.382434957,50,1.353656225,38,1.028778731,0,0,0,0,0,0,0,0,0,0
65,15,065,Otumba,36331,104,2.862569156,29,0.798216399,75,2.064352757,0,0,0,0,0,0,0,0,0,0
66,15,066,Otzoloapan,4891,3,0.613371499,3,0.613371499,0,0,0,0,0,0,0,0,0,0,0,0
67,15,067,Otzolotepec,88783,78,0.878546569,34,0.382956197,44,0.495590372,0,0,0,0,0,0,0,0,0,0
68,15,068,Ozumba,30785,34,1.104433978,34,1.104433978,0,0,0,0,0,0,0,0,0,0,0,0
69,15,069,Papalotla,4862,2,0.411353353,2,0.411353353,0,0,0,0,0,0,0,0,0,0,0,0
70,15,070,La Paz,304088,872,2.867590961,183,0.601799479,521,1.713319828,168,0.552471653,0,0,0,0,0,0,0,0
71,15,071,Polotitlán,14985,29,1.935268602,29,1.935268602,0,0,0,0,0,0,0,0,0,0,0,0
72,15,072,Rayón,15972,16,1.001753068,16,1.001753068,0,0,0,0,0,0,0,0,0,0,0,0
73,15,073,San Antonio la Isla,31962,22,0.688317377,22,0.688317377,0,0,0,0,0,0,0,0,0,0,0,0
74,15,074,San Felipe del Progreso,144924,338,2.332256907,133,0.917722392,205,1.414534515,0,0,0,0,0,0,0,0,0,0
75,15,075,San Martín de las Pirámides,29182,40,1.370707971,40,1.370707971,0,0,0,0,0,0,0,0,0,0,0,0
76,15,076,San Mateo Atenco,97418,78,0.800673387,78,0.800673387,0,0,0,0,0,0,0,0,0,0,0,0
77,15,077,San Simón de Guerrero,6692,27,4.034668261,27,4.034668261,0,0,0,0,0,0,0,0,0,0,0,0
78,15,078,Santo Tomás,9729,21,2.15849522,21,2.15849522,0,0,0,0,0,0,0,0,0,0,0,0
79,15,079,Soyaniquilpan de Juárez,14323,29,2.024715493,29,2.024715493,0,0,0,0,0,0,0,0,0,0,0,0
80,15,080,Sultepec,24145,74,3.064816732,24,0.993994616,50,2.070822116,0,0,0,0,0,0,0,0,0,0
81,15,081,Tecámac,547503,1031,1.883094705,109,0.199085667,920,1.680356089,0,0,0,0,0,0,0,0,2,0.003652948
82,15,082,Tejupilco,79282,397,5.00744179,111,1.400065589,276,3.481244166,0,0,0,0,0,0,10,0.126132035,0,0
83,15,083,Temamatla,14130,16,1.132342534,16,1.132342534,0,0,0,0,0,0,0,0,0,0,0,0
84,15,084,Temascalapa,43593,34,0.779941734,34,0.779941734,0,0,0,0,0,0,0,0,0,0,0,0
85,15,085,Temascalcingo,66414,80,1.204565302,67,1.008823441,0,0,0,0,0,0,0,0,13,0.195741862,0,0
86,15,086,Temascaltepec,35014,102,2.913120466,54,1.542240247,48,1.370880219,0,0,0,0,0,0,0,0,0,0
87,15,087,Temoaya,105766,168,1.588412155,69,0.652383564,86,0.813115746,0,0,0,0,0,0,0,0,13,0.122912845
88,15,088,Tenancingo,104677,340,3.248086972,55,0.525425834,274,2.617575972,0,0,0,0,0,0,11,0.105085167,0,0
89,15,089,Tenango del Aire,11359,18,1.584646536,18,1.584646536,0,0,0,0,0,0,0,0,0,0,0,0
90,15,090,Tenango del Valle,90518,118,1.303608122,58,0.640756535,51,0.563423849,0,0,0,0,0,0,9,0.099427738,0,0
91,15,091,Teoloyucan,65459,51,0.779113644,51,0.779113644,0,0,0,0,0,0,0,0,0,0,0,0
92,15,092,Teotihuacán,58507,56,0.957150426,48,0.820414651,0,0,0,0,0,0,0,0,8,0.136735775,0,0
93,15,093,Tepetlaoxtoc,32564,28,0.859845228,28,0.859845228,0,0,0,0,0,0,0,0,0,0,0,0
94,15,094,Tepetlixpa,20500,79,3.853658537,7,0.341463415,72,3.512195122,0,0,0,0,0,0,0,0,0,0
95,15,095,Tepotzotlán,103696,36,0.347168647,36,0.347168647,0,0,0,0,0,0,0,0,0,0,0,0
96,15,096,Tequixquiac,39489,25,0.633087695,25,0.633087695,0,0,0,0,0,0,0,0,0,0,0,0
97,15,097,Texcaltitlán,18482,89,4.815496158,16,0.865707175,66,3.571042095,0,0,0,0,0,0,0,0,7,0.378746889
98,15,098,Texcalyacac,5736,10,1.743375174,10,1.743375174,0,0,0,0,0,0,0,0,0,0,0,0
99,15,099,Texcoco,277562,570,2.053595233,139,0.500789013,410,1.477147448,0,0,0,0,0,0,16,0.057644778,5,0.018013993
100,15,100,Tezoyuca,47044,28,0.595187484,28,0.595187484,0,0,0,0,0,0,0,0,0,0,0,0
101,15,101,Tianguistenco,84259,94,1.115607828,91,1.080003323,0,0,0,0,0,0,0,0,3,0.035604505,0,0
102,15,102,Timilpan,16414,39,2.37602047,39,2.37602047,0,0,0,0,0,0,0,0,0,0,0,0
103,15,103,Tlalmanalco,49196,42,0.853727945,42,0.853727945,0,0,0,0,0,0,0,0,0,0,0,0
104,15,104,Tlalnepantla de Baz,672202,2394,3.561429451,529,0.786965823,1750,2.603384102,0,0,0,0,0,0,31,0.04611709,84,0.124962437
105,15,105,Tlatlaya,31762,103,3.242868837,54,1.700144827,49,1.54272401,0,0,0,0,0,0,0,0,0,0
106,15,106,Toluca,910608,5141,5.645678492,621,0.681961942,3220,3.536098958,1248,1.370512888,0,0,0,0,52,0.057104704,0,0
107,15,107,Tonatico,12912,24,1.858736059,23,1.781288724,0,0,0,0,0,0,0,0,1,0.077447336,0,0
108,15,108,Tultepec,157645,109,0.69142694,69,0.437692283,0,0,0,0,0,0,0,0,40,0.253734657,0,0
109,15,109,Tultitlán,516341,917,1.775958136,150,0.290505693,113,0.218847622,654,1.266604821,0,0,0,0,0,0,0,0
110,15,110,Valle de Bravo,61590,323,5.24435785,68,1.104075337,250,4.059100503,0,0,0,0,0,0,5,0.08118201,0,0
111,15,111,Villa de Allende,53275,53,0.994838104,53,0.994838104,0,0,0,0,0,0,0,0,0,0,0,0
112,15,112,Villa del Carbón,51498,109,2.116587052,52,1.009747951,57,1.106839101,0,0,0,0,0,0,0,0,0,0
113,15,113,Villa Guerrero,69086,88,1.273774716,44,0.636887358,44,0.636887358,0,0,0,0,0,0,0,0,0,0
114,15,114,Villa Victoria,108196,144,1.330917964,75,0.693186439,69,0.637731524,0,0,0,0,0,0,0,0,0,0
115,15,115,Xonacatlán,54633,126,2.306298391,27,0.494206798,99,1.812091593,0,0,0,0,0,0,0,0,0,0
116,15,116,Zacazonapan,5109,1,0.19573302,1,0.19573302,0,0,0,0,0,0,0,0,0,0,0,0
117,15,117,Zacualpan,13522,50,3.697677858,14,1.0353498,36,2.662328058,0,0,0,0,0,0,0,0,0,0
118,15,118,Zinacantepec,203872,96,0.470883692,96,0.470883692,0,0,0,0,0,0,0,0,0,0,0,0
119,15,119,Zumpahuacán,18833,29,1.539850263,29,1.539850263,0,0,0,0,0,0,0,0,0,0,0,0
120,15,120,Zumpango,280455,615,2.192865166,119,0.424310495,137,0.488491915,314,1.119609206,0,0,0,0,33,0.117665936,12,0.042787613
121,15,121,Cuautitlán Izcalli,555163,656,1.181634943,255,0.459324559,380,0.684483656,0,0,0,0,0,0,0,0,21,0.037826728
122,15,122,Valle de Chalco Solidaridad,391731,589,1.503582816,225,0.574373741,309,0.788806605,0,0,0,0,0,0,0,0,55,0.14040247
123,15,123,Luvianos,28822,88,3.053223232,34,1.179654431,54,1.873568802,0,0,0,0,0,0,0,0,0,0
124,15,124,San José del Rincón,100082,250,2.49795168,86,0.859295378,63,0.629483823,100,0.999180672,0,0,0,0,1,0.009991807,0,0
125,15,125,Tonanitla,14883,9,0.604716791,9,0.604716791,0,0,0,0,0,0,0,0,0,0,0,0
8888,8888,8888,No Disponible,0,727,0,0,0,617,0,0,0,0,0,0,0,0,0,110,0
9999,9999,9999,Total Estado de México,16992418,36431,243.2480875,10413,118.8182344,19290,106.2985836,6035,13.96890857,0,0,0,0,439,2.765342563,254,1.397018408
